property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,servant room,furnishing_type,luxury_category,floor_category
flat,sector 62,2.15,2,2,3,Under Construction,1880.64,No,unfurnished,Medium,High Floor
flat,sector 108,1.3,3,3,3+,Relatively New,1757.96,No,unfurnished,High,Mid Floor
flat,sector 43,2.5,4,4,3+,Relatively New,2649.96,No,semifurnished,Medium,Low Floor
flat,sector 65,1.99,2,2,2,Under Construction,1260.02,No,unfurnished,Low,High Floor
flat,sector 37d,1.65,3,3,2,Relatively New,1877.01,No,unfurnished,Medium,High Floor
flat,sector 102,1.3,3,3,3,Relatively New,1650.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 70a,1.6,2,2,2,Moderately Old,1564.96,No,unfurnished,Medium,High Floor
flat,sector 107,0.28,2,2,2,Relatively New,609.57,No,unfurnished,Low,High Floor
flat,sector 113,2.45,3,3,3+,Relatively New,2217.04,No,unfurnished,High,Mid Floor
flat,sector 104,1.35,3,2,2,New Property,1359.05,No,unfurnished,Low,High Floor
flat,sector 86,1.27,3,4,3,Relatively New,1929.97,Yes,unfurnished,Medium,High Floor
flat,sector 68,1.0,2,2,2,New Property,1527.46,Yes,unfurnished,Medium,High Floor
house,sector 25,6.3,4,4,3+,Old Property,1989.0,Yes,unfurnished,Medium,Low Floor
house,sector 43,5.75,4,4,2,Under Construction,2546.28,Yes,furnished,High,Mid Floor
flat,sector 81,3.3,4,5,3+,Relatively New,3469.96,Yes,semifurnished,High,Mid Floor
flat,sector 82,1.15,3,4,2,Relatively New,1790.04,Yes,semifurnished,Medium,High Floor
flat,sector 52,1.76,4,4,3+,New Property,2429.95,No,unfurnished,Low,High Floor
house,sector 43,10.85,8,8,3,Moderately Old,4157.0,Yes,furnished,High,Mid Floor
flat,sector 3,1.25,2,2,3,Under Construction,1443.98,No,unfurnished,Low,High Floor
flat,sector 112,5.6,4,6,3+,Relatively New,4847.95,Yes,semifurnished,High,Mid Floor
house,sector 27,4.25,5,5,3+,Relatively New,1655.22,Yes,semifurnished,Low,Mid Floor
flat,sector 108,2.4,2,2,2,New Property,1381.01,No,semifurnished,Medium,High Floor
flat,sohna road,1.01,2,2,3,Under Construction,1450.0,No,unfurnished,Medium,High Floor
flat,sector 83,1.8,3,4,3+,Relatively New,1870.56,Yes,semifurnished,Medium,Mid Floor
flat,sector 48,1.5,3,3,3,Old Property,1707.05,No,semifurnished,Medium,Low Floor
flat,sector 84,2.28,4,4,3+,Relatively New,3434.01,Yes,unfurnished,Medium,Mid Floor
flat,sector 109,1.65,3,3,3+,Relatively New,2149.98,Yes,semifurnished,Low,High Floor
flat,sector 2,0.95,2,2,3,Moderately Old,1415.02,No,semifurnished,Medium,Low Floor
flat,sector 82a,0.62,1,1,0,Relatively New,718.0,No,unfurnished,Low,Mid Floor
house,sohna road road,1.35,5,5,3+,Relatively New,1492.0,No,unfurnished,Low,Mid Floor
flat,sector 103,1.05,2,2,3,Relatively New,1323.87,No,semifurnished,Medium,Low Floor
flat,sector 70a,1.1,2,2,3+,New Property,1450.0,No,unfurnished,Medium,Mid Floor
flat,sohna road road,1.5,2,2,3,New Property,1527.46,No,unfurnished,Low,High Floor
flat,sector 37d,1.78,4,3,3,Relatively New,2190.99,Yes,unfurnished,Medium,Mid Floor
flat,sector 111,3.4,4,5,3+,Relatively New,2949.95,Yes,unfurnished,Medium,High Floor
house,sector 49,4.4,6,6,3,Moderately Old,3182.0,Yes,furnished,Medium,Mid Floor
flat,sector 37d,1.0,3,3,3+,Moderately Old,1770.02,No,unfurnished,Low,High Floor
flat,sector 49,4.21,5,6,3+,Relatively New,3557.04,Yes,unfurnished,Low,High Floor
flat,sector 53,4.8,3,4,3+,New Property,3199.0,No,unfurnished,Medium,High Floor
house,sector 3,0.37,1,1,1,Relatively New,530.0,No,unfurnished,Low,Low Floor
house,sector 2,5.0,6,4,0,Moderately Old,4420.0,No,unfurnished,Low,Mid Floor
flat,sector 78,4.75,3,3,2,Under Construction,3108.0,Yes,unfurnished,Medium,High Floor
house,sector 106,5.6,5,4,3+,New Property,4420.0,Yes,unfurnished,High,High Floor
flat,sector 56,1.39,3,3,3,Moderately Old,1919.96,No,semifurnished,Medium,Mid Floor
house,sector 11,0.24,2,2,0,Relatively New,497.0,No,unfurnished,Low,Low Floor
house,sector 55,5.0,9,9,3+,New Property,1141.54,No,semifurnished,Low,Mid Floor
flat,sector 78,0.9,3,3,2,Moderately Old,1949.99,Yes,unfurnished,Medium,Low Floor
